x,y,z,Rx,Ry,Rz,Re,tx_gain_h_9p650GHz,tx_phase_h_9p650GHz,tx_gain_v_9p650GHz,tx_phase_v_9p650GHz
0.0,0.0,0.0,-45.0,0.0,0.0,0.0,-108.94254303,-95.7741317749,-56.7491722107,35.9699172974
0.0,0.0,0.0,-40.0,0.0,0.0,0.0,-102.79145813,82.756652832,-47.6534729004,46.9600639343
0.0,0.0,0.0,-35.0,0.0,0.0,0.0,-100.069671631,-94.2136306763,-45.7297897339,-127.900512695
0.0,0.0,0.0,-30.0,0.0,0.0,0.0,-98.1844024658,-43.852684021,-55.7000350952,126.061569214
0.0,0.0,0.0,-25.0,0.0,0.0,0.0,-77.1430969238,127.599479675,-40.8037834167,-93.2887268066
0.0,0.0,0.0,-20.0,0.0,0.0,0.0,-73.8545303345,86.9073944092,-44.2300224304,14.9272079468
0.0,0.0,0.0,-19.0,0.0,0.0,0.0,-74.96068573,67.1971206665,-41.1879386902,-47.4570617676
0.0,0.0,0.0,-18.0,0.0,0.0,0.0,-77.3699188232,44.6488113403,-44.6464309692,-118.307006836
0.0,0.0,0.0,-17.0,0.0,0.0,0.0,-78.4446182251,3.78625130653,-51.6922645569,74.880317688
0.0,0.0,0.0,-16.0,0.0,0.0,0.0,-80.8930206299,-47.612411499,-42.5084075928,-33.7686691284
0.0,0.0,0.0,-15.0,0.0,0.0,0.0,-81.1241073608,-84.2633132935,-43.1861801147,-116.493347168
0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-80.8776626587,-131.622207642,-48.1052627563,116.330307007
0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-79.7384796143,-150.368484497,-44.7175674438,-13.5509519577
0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-76.1635971069,175.39263916,-46.6618423462,-139.933410645
0.0,0.0,0.0,-10.0,0.0,0.0,0.0,-82.6911392212,88.9217376709,-34.3200111389,-5.76793289185
0.0,0.0,0.0,-9.5,0.0,0.0,0.0,-87.6929016113,93.7361907959,-33.6831855774,-46.4161148071
0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-92.6526260376,161.564529419,-33.9957733154,-85.1339416504
0.0,0.0,0.0,-8.5,0.0,0.0,0.0,-82.2542266846,162.48147583,-35.0856933594,-126.662948608
0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-80.6655731201,146.125366211,-36.7238082886,-172.088775635
